Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47µF","C_Elec_6.3x5.4",243.750000,-66.750000,180.000000,bottom
"C2","100nF","C_0603_1608Metric",207.250000,-62.271933,180.000000,bottom
"C3","10µF","C_0805_2012Metric",207.470000,-65.500000,180.000000,bottom
"C4","100nF","C_0603_1608Metric",101.400000,-62.200000,180.000000,bottom
"C5","10µF","C_0805_2012Metric",101.620000,-65.500000,180.000000,bottom
"D1","1N4148WS","D_SOD-323",199.000000,-66.000000,90.000000,bottom
"R1","4.7kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",234.000000,-59.180000,0.000000,bottom
"R2","4.7kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",234.000000,-61.800000,0.000000,bottom
"R3","39kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",203.250000,-66.000000,90.000000,bottom
"R4","330Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",253.330000,-36.000000,90.000000,bottom
"R5","330Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",250.790000,-36.000000,90.000000,bottom
"R6","330Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",248.250000,-36.000000,90.000000,bottom
"R7","330Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",245.710000,-36.000000,90.000000,bottom
"R8","330Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",243.170000,-36.000000,90.000000,bottom
"R9","330Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",240.630000,-36.000000,90.000000,bottom
"R10","330Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",238.090000,-36.000000,90.000000,bottom
"R11","330Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",234.000000,-43.000000,180.000000,bottom
"R12","330Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",234.000000,-45.540000,180.000000,bottom
"U1","~","SSOP-28_L9.9-W3.9-P0.64-LS6.0-BL",95.923233,-57.750000,90.000000,bottom
"U2","~","SSOP-28_L9.9-W3.9-P0.64-LS6.0-BL",201.718732,-57.750000,90.000000,bottom
"A1","rp2040 zero","RP2040_Zero_Castellated",248.250000,-48.045466,-90.000000,top
"H1","MountingHole_Pad","MountingHole_3.2mm_M3_Pad_Via",255.000000,-29.000000,0.000000,top
"H2","MountingHole_Pad","MountingHole_3.2mm_M3_Pad_Via",184.666667,-29.000000,0.000000,top
"H3","MountingHole_Pad","MountingHole_3.2mm_M3_Pad_Via",114.333333,-29.000000,0.000000,top
"H4","MountingHole_Pad","MountingHole_3.2mm_M3_Pad_Via",44.000000,-29.000000,0.000000,top
"H5","MountingHole_Pad","MountingHole_3.2mm_M3_Pad_Via",44.000000,-67.000000,0.000000,top
"H6","MountingHole_Pad","MountingHole_3.2mm_M3_Pad_Via",114.333333,-67.000000,0.000000,top
"H7","MountingHole_Pad","MountingHole_3.2mm_M3_Pad_Via",184.666667,-67.000000,0.000000,top
"H8","MountingHole_Pad","MountingHole_3.2mm_M3_Pad_Via",255.000000,-67.000000,0.000000,top
"LED1","~","LED-SEG-TH_18P-L27.7-W19.9-P2.54-LS15.2_HDSP-3903",53.620000,-48.060433,90.000000,top
"LED2","~","LED-SEG-TH_18P-L27.7-W19.9-P2.54-LS15.2_HDSP-3903",74.779100,-48.060433,90.000000,top
"LED3","~","LED-SEG-TH_18P-L27.7-W19.9-P2.54-LS15.2_HDSP-3903",95.938200,-48.060433,90.000000,top
"LED4","~","LED-SEG-TH_18P-L27.7-W19.9-P2.54-LS15.2_HDSP-3903",117.097300,-48.060433,90.000000,top
"LED5","~","LED-SEG-TH_18P-L27.7-W19.9-P2.54-LS15.2_HDSP-3903",138.250000,-48.060433,90.000000,top
"LED6","~","LED-SEG-TH_18P-L27.7-W19.9-P2.54-LS15.2_HDSP-3903",159.415499,-48.060433,90.000000,top
"LED7","~","LED-SEG-TH_18P-L27.7-W19.9-P2.54-LS15.2_HDSP-3903",180.574599,-48.060433,90.000000,top
"LED8","~","LED-SEG-TH_18P-L27.7-W19.9-P2.54-LS15.2_HDSP-3903",201.733699,-48.060433,90.000000,top
"LED9","~","LED-SEG-TH_18P-L27.7-W19.9-P2.54-LS15.2_HDSP-3903",222.892799,-48.060433,90.000000,top
